Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	yeast1 Spectral Count	yeast2 Spectral Count	yeast3 Spectral Count	yeast1 Unique Spectral Count	yeast2 Unique Spectral Count	yeast3 Unique Spectral Count	yeast1 Total Spectral Count	yeast2 Total Spectral Count	yeast3 Total Spectral Count	yeast1 Intensity	yeast2 Intensity	yeast3 Intensity	yeast1 MaxLFQ Intensity	yeast2 MaxLFQ Intensity	yeast3 MaxLFQ Intensity	Indistinguishable Proteins
sp|P32340|NDI1_YEAST	P32340	NDI1_YEAST	NDI1	513	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Rotenone-insensitive NADH-ubiquinone oxidoreductase, mitochondrial	0.9999	0.999	2	4	4	4	0	1	3	0	1	3	0	1	3	3364805.0	6213318.0	6007285.5	3364805.0	6213318.0	6007285.5	
sp|P32347|DCUP_YEAST	P32347	DCUP_YEAST	HEM12	362	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Uroporphyrinogen decarboxylase	1.0	0.999	3	6	6	6	2	3	1	2	3	1	2	3	1	2.514623E7	1.6766452E7	1.2933408E7	9390633.0	7009966.0	4995715.0	
sp|P32352|ERG2_YEAST	P32352	ERG2_YEAST	ERG2	222	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	C-8 sterol isomerase ERG2	1.0	0.999	4	18	18	18	5	6	7	5	6	7	5	6	7	7.4168192E7	7.476072E7	8.6024104E7	3.3032948E7	2.7873686E7	3.2525822E7	
sp|P32353|ERG3_YEAST	P32353	ERG3_YEAST	ERG3	365	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Delta(7)-sterol 5(6)-desaturase ERG3	1.0	0.999	3	6	6	6	2	3	1	2	3	1	2	3	1	8381630.0	8754964.0	8492408.0	2999302.5	3575195.0	3367406.2	
sp|P32356|TREA_YEAST	P32356	TREA_YEAST	NTH1	751	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Cytosolic neutral trehalase	1.0	0.999	16	38	37	38	13	11	14	12	11	14	13	11	14	1.19826784E8	1.13481448E8	1.21957512E8	1.4750695E7	1.3317876E7	1.3931087E7	
sp|P32366|VA0D_YEAST	P32366	VA0D_YEAST	VMA6	345	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	V-type proton ATPase subunit d	1.0	0.999	4	25	25	25	10	8	7	10	8	7	10	8	7	6.3291752E7	5.0805312E7	6.7285952E7	2.7479546E7	2.5731062E7	2.8365244E7	
sp|P32368|SAC1_YEAST	P32368	SAC1_YEAST	SAC1	623	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Phosphatidylinositol-3-phosphatase SAC1	1.0	0.999	12	47	47	47	16	17	14	16	17	14	16	17	14	1.34310416E8	1.52521888E8	1.48595936E8	3.0758952E7	3.2515792E7	3.0076652E7	
sp|P32377|MVD1_YEAST	P32377	MVD1_YEAST	MVD1	396	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Diphosphomevalonate decarboxylase	1.0	0.999	6	28	28	28	9	9	10	9	9	10	9	9	10	6.3998568E7	7.3324064E7	8.0957E7	2.0164136E7	2.43762E7	2.7026666E7	
sp|P32379|PSA5_YEAST	P32379	PSA5_YEAST	PUP2	260	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Proteasome subunit alpha type-5	1.0	0.999	6	23	23	23	7	11	5	7	11	5	7	11	5	1.29155856E8	9.4034952E7	1.20826824E8	3.4122768E7	3.172583E7	3.2732758E7	
sp|P32381|ARP2_YEAST	P32381	ARP2_YEAST	ARP2	391	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Actin-related protein 2	1.0	0.999	12	50	50	50	17	15	18	17	15	18	17	15	18	1.634292E8	1.56648592E8	1.53021984E8	3.0399136E7	2.7815718E7	2.6808918E7	
sp|P32386|YBT1_YEAST	P32386	YBT1_YEAST	YBT1	1661	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	ATP-dependent bile acid permease	1.0	0.999	9	21	21	21	7	7	7	7	7	7	7	7	7	5.0068344E7	4.6757144E7	4.784636E7	1.5017726E7	1.238836E7	1.3031789E7	
sp|P32419|MDHP_YEAST	P32419	MDHP_YEAST	MDH3	343	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Malate dehydrogenase, peroxisomal	1.0	0.999	5	13	13	13	4	5	4	4	5	4	4	5	4	3.5525632E7	6.6274696E7	2.9528596E7	2.2122882E7	1.7294524E7	1.6263777E7	
sp|P32445|RIM1_YEAST	P32445	RIM1_YEAST	RIM1	135	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Single-stranded DNA-binding protein RIM1, mitochondrial	1.0	0.999	4	12	12	12	3	5	4	3	5	4	3	5	4	3.1905084E7	5.658264E7	5.2586876E7	1.6666844E7	1.9155904E7	1.7630438E7	
sp|P32447|ASF1_YEAST	P32447	ASF1_YEAST	ASF1	279	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Histone chaperone ASF1	0.9999	0.9987	2	2	2	2	1	1	0	1	1	0	1	1	0	4182471.5	7269468.0	5271915.0	4767085.5	3864526.5	2602416.2	
sp|P32449|AROG_YEAST	P32449	AROG_YEAST	ARO4	370	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Phospho-2-dehydro-3-deoxyheptonate aldolase, tyrosine-inhibited	1.0	0.999	8	26	26	34	8	8	10	8	8	10	10	11	13	9.5986184E7	1.05766528E8	1.05754896E8	3.6041008E7	3.2013912E7	3.3457304E7	
sp|P32453|ATP11_YEAST	P32453	ATP11_YEAST	ATP11	318	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protein ATP11, mitochondrial	1.0	0.999	3	6	6	6	2	2	2	2	2	2	2	2	2	1.098082E7	1.1484286E7	1.3990023E7	3964721.8	6946467.5	6373044.5	
sp|P32454|APE2_YEAST	P32454	APE2_YEAST	APE2	952	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Aminopeptidase 2, mitochondrial	1.0	0.999	29	128	115	128	43	44	41	38	40	37	43	44	41	4.01607232E8	4.381624E8	4.21622816E8	3.4449632E7	3.5559928E7	3.5853108E7	
sp|P32457|CDC3_YEAST	P32457	CDC3_YEAST	CDC3	520	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Cell division control protein 3	1.0	0.999	9	24	24	24	7	8	9	7	8	9	7	8	9	7.2181936E7	6.1030732E7	7.9947856E7	1.4547915E7	1.5260814E7	1.7614022E7	
sp|P32458|CDC11_YEAST	P32458	CDC11_YEAST	CDC11	415	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Cell division control protein 11	1.0	0.999	5	9	9	9	4	3	2	4	3	2	4	3	2	6.7131392E7	1.762922E7	1.9961664E7	1.2362315E7	1.5112807E7	1.5312267E7	
sp|P32462|ERG24_YEAST	P32462	ERG24_YEAST	ERG24	438	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Delta(14)-sterol reductase ERG24	0.9999	0.998	2	6	6	6	2	2	2	2	2	2	2	2	2	1.5648816E7	1.3262395E7	1.4478018E7	9381329.0	8073112.0	8521268.0	
sp|P32463|ACPM_YEAST	P32463	ACPM_YEAST	ACP1	125	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Acyl carrier protein, mitochondrial	1.0	0.999	2	21	21	21	7	7	7	7	7	7	7	7	7	7.2083624E7	6.5291076E7	5.9185368E7	3.6682712E7	3.1777156E7	3.0652578E7	
sp|P32466|HXT3_YEAST	P32466	HXT3_YEAST	HXT3	567	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Low-affinity glucose transporter HXT3	1.0	0.999	8	24	24	46	6	9	9	6	9	9	12	16	18	9.1271536E7	9.0441704E7	8.8828208E7	3.0330474E7	2.837972E7	3.025832E7	
sp|P32467|HXT4_YEAST	P32467	HXT4_YEAST	HXT4	576	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Low-affinity glucose transporter HXT4	0.9777	0.9958	3	3	3	17	1	1	1	1	1	1	5	5	7	3366787.8	3921273.0	2498140.0	3366787.8	3921273.0	2498140.0	
sp|P32468|CDC12_YEAST	P32468	CDC12_YEAST	CDC12	407	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Cell division control protein 12	1.0	0.999	11	33	33	33	12	12	9	12	12	9	12	12	9	7.7318944E7	8.4062048E7	9.8199424E7	1.5432693E7	1.6399228E7	1.7266752E7	
sp|P32469|DPH5_YEAST	P32469	DPH5_YEAST	DPH5	300	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Diphthine methyl ester synthase	1.0	0.999	4	22	22	22	6	8	8	6	8	8	6	8	8	3.1503558E7	3.525892E7	3.0214252E7	1.3584719E7	1.2930329E7	1.2895754E7	
sp|P32471|EF1B_YEAST	P32471	EF1B_YEAST	EFB1	206	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Elongation factor 1-beta	1.0	0.999	6	72	72	72	26	23	23	26	23	23	26	23	23	1.11889869E9	1.27287002E9	1.63246464E9	4.17516256E8	5.4628883E8	6.3642355E8	
sp|P32472|FKBP2_YEAST	P32472	FKBP2_YEAST	FPR2	135	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase FPR2	1.0	0.999	3	9	9	9	4	2	3	4	2	3	4	2	3	2.8378052E7	2.0133194E7	2.0983026E7	1.8337576E7	1.264153E7	1.5463396E7	
sp|P32473|ODPB_YEAST	P32473	ODPB_YEAST	PDB1	366	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	1.0	0.999	7	40	40	40	14	14	12	14	14	12	14	14	12	1.66737664E8	1.40658512E8	1.25540912E8	3.8309512E7	3.4311648E7	3.2904906E7	
sp|P32474|EUG1_YEAST	P32474	EUG1_YEAST	EUG1	517	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protein disulfide-isomerase EUG1	0.9674	0.999	1	3	3	3	1	1	1	1	1	1	1	1	1	2421836.2	3293316.2	5985759.0	2421836.2	3293316.2	5985759.0	
sp|P32476|ERG1_YEAST	P32476	ERG1_YEAST	ERG1	496	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Squalene epoxidase ERG1	1.0	0.999	9	27	27	27	9	10	8	9	10	8	9	10	8	8.1682288E7	7.8421416E7	8.8769824E7	1.4746276E7	1.4308761E7	1.5762012E7	
sp|P32477|GSH1_YEAST	P32477	GSH1_YEAST	GSH1	678	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Glutamate--cysteine ligase	1.0	0.999	2	5	5	5	1	2	2	1	2	2	1	2	2	7479563.0	8584666.0	9396630.0	4849692.5	5321112.0	5540165.0	
sp|P32478|HS150_YEAST	P32478	HS150_YEAST	HSP150	413	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Cell wall mannoprotein HSP150	0.9592	0.9987	1	6	0	6	2	2	2	0	0	0	2	2	2	1.1085073E7	2.083643E7	1.6585966E7	7423544.0	1.4213921E7	1.0768363E7	sp|P46999|PIR5_YEAST, sp|P47001|CIS3_YEAST, sp|Q03178|PIR1_YEAST, sp|Q03180|PIR3_YEAST
sp|P32481|IF2G_YEAST	P32481	IF2G_YEAST	GCD11	527	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 2 subunit gamma	1.0	0.999	17	82	82	82	24	31	27	24	31	27	24	31	27	2.78936256E8	2.48276288E8	3.6443152E8	5.3480184E7	4.904164E7	5.2448432E7	
sp|P32485|HOG1_YEAST	P32485	HOG1_YEAST	HOG1	435	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Mitogen-activated protein kinase HOG1	1.0	0.999	8	26	21	26	8	9	9	7	7	7	8	9	9	7.2400928E7	7.2672224E7	8.5009976E7	1.7289194E7	1.8477984E7	2.1449842E7	
sp|P32486|KRE6_YEAST	P32486	KRE6_YEAST	KRE6	720	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Beta-glucan synthesis-associated protein KRE6	0.9674	0.999	1	3	3	3	1	1	1	1	1	1	1	1	1	3712855.0	4713981.0	4336811.5	3712855.0	4713981.0	4336811.5	
sp|P32495|NHP2_YEAST	P32495	NHP2_YEAST	NHP2	156	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	H/ACA ribonucleoprotein complex subunit NHP2	1.0	0.999	3	11	11	11	3	4	4	3	4	4	3	4	4	1.5304195E7	2.0624888E7	1.4068379E7	8184750.0	7350106.5	7500200.5	
sp|P32496|RPN12_YEAST	P32496	RPN12_YEAST	RPN12	274	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	26S proteasome regulatory subunit RPN12	1.0	0.999	7	17	17	17	6	5	6	6	5	6	6	5	6	3.494488E8	3.3005072E8	3.481336E8	2.73266624E8	3.06404736E8	3.03915904E8	
sp|P32497|EIF3C_YEAST	P32497	EIF3C_YEAST	NIP1	812	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit C	1.0	0.999	14	52	52	52	15	19	18	15	19	18	15	19	18	1.87623248E8	1.75546464E8	1.7194192E8	3.0741804E7	2.8163212E7	2.8980872E7	
sp|P32499|NUP2_YEAST	P32499	NUP2_YEAST	NUP2	720	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Nucleoporin NUP2	1.0	0.999	11	32	32	32	12	10	10	12	10	10	12	10	10	5.4163784E7	6.3095576E7	5.850434E7	1.5921762E7	1.5879827E7	1.8225056E7	
sp|P32500|NDC1_YEAST	P32500	NDC1_YEAST	NDC1	655	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Nucleoporin NDC1	0.9625	0.9988	1	1	1	1	0	0	1	0	0	1	0	0	1	5572551.5	3578750.5	5907201.0	5572551.5	3578750.5	5907201.0	
sp|P32501|EI2BE_YEAST	P32501	EI2BE_YEAST	GCD6	712	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Translation initiation factor eIF-2B subunit epsilon	1.0	0.999	8	16	16	16	7	5	4	7	5	4	7	5	4	4.7519736E7	6.431304E7	3.6997316E7	2.3980514E7	2.7391312E7	2.5451672E7	
sp|P32502|EI2BB_YEAST	P32502	EI2BB_YEAST	GCD7	381	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Translation initiation factor eIF-2B subunit beta	0.9674	0.999	1	1	1	1	0	0	1	0	0	1	0	0	1	2077100.2	1697613.0	2077640.0	2077100.2	1697613.0	2077640.0	
sp|P32505|NAB2_YEAST	P32505	NAB2_YEAST	NAB2	525	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Nuclear polyadenylated RNA-binding protein NAB2	1.0	0.999	3	10	10	10	4	3	3	4	3	3	4	3	3	1.8382598E7	1.7062348E7	1.4990135E7	1.2749371E7	1.1459321E7	9735230.0	
sp|P32521|PAN1_YEAST	P32521	PAN1_YEAST	PAN1	1480	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Actin cytoskeleton-regulatory complex protein PAN1	1.0	0.999	6	15	15	15	5	5	5	5	5	5	5	5	5	4.2132716E7	4.0760856E7	4.1450544E7	1.0227502E7	9913258.0	9491389.0	
sp|P32527|ZUO1_YEAST	P32527	ZUO1_YEAST	ZUO1	433	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Zuotin	1.0	0.999	14	71	71	71	23	26	22	23	26	22	23	26	22	2.97344064E8	2.75588032E8	2.87757376E8	5.9066104E7	5.8627164E7	6.296888E7	
sp|P32528|DUR1_YEAST	P32528	DUR1_YEAST	DUR1,2	1835	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Urea amidolyase	1.0	0.999	4	6	6	6	2	2	2	2	2	2	2	2	2	7752537.0	7431548.0	1.2068317E7	3386930.0	3275930.0	4523086.5	
sp|P32558|SPT16_YEAST	P32558	SPT16_YEAST	SPT16	1035	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	FACT complex subunit SPT16	1.0	0.999	24	71	71	71	25	22	24	25	22	24	25	22	24	2.32274672E8	2.14663376E8	2.19747184E8	2.8968626E7	2.6788632E7	2.7603932E7	
sp|P32563|VPP1_YEAST	P32563	VPP1_YEAST	VPH1	840	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	V-type proton ATPase subunit a, vacuolar isoform	1.0	0.999	19	103	103	103	34	35	34	34	35	34	34	35	34	2.33472848E8	2.46616592E8	3.03049664E8	2.9447666E7	3.5569408E7	4.053402E7	
sp|P32565|RPN2_YEAST	P32565	RPN2_YEAST	RPN2	945	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	26S proteasome regulatory subunit RPN2	1.0	0.999	22	74	69	74	23	29	22	22	27	20	23	29	22	2.21584608E8	2.1010792E8	2.21821696E8	2.1859798E7	2.054607E7	2.1309386E7	
sp|P32566|SMI1_YEAST	P32566	SMI1_YEAST	SMI1	505	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Cell wall assembly regulator SMI1	1.0	0.999	2	3	3	3	2	0	1	2	0	1	2	0	1	1.4820089E7	1.426498E7	6616349.5	9025566.0	7679664.5	7397908.5	
sp|P32582|CBS_YEAST	P32582	CBS_YEAST	CYS4	507	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Cystathionine beta-synthase	1.0	0.999	22	174	174	174	58	59	57	58	59	57	58	59	57	7.2994285E8	7.1120448E8	8.190487E8	1.128284E8	9.6705056E7	1.13796096E8	
sp|P32583|SRP40_YEAST	P32583	SRP40_YEAST	SRP40	406	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Suppressor protein SRP40	0.9657	0.9989	1	1	1	1	1	0	0	1	0	0	1	0	0	1.4191576E7	1.8187684E7	1.9793344E7	1.4191576E7	1.8187684E7	1.9793344E7	
sp|P32588|PUB1_YEAST	P32588	PUB1_YEAST	PUB1	453	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Nuclear and cytoplasmic polyadenylated RNA-binding protein PUB1	1.0	0.999	6	28	28	28	9	9	10	9	9	10	9	9	10	1.418592E8	1.43324112E8	1.54449104E8	4.7579336E7	4.665272E7	5.121968E7	
sp|P32589|HSP7F_YEAST	P32589	HSP7F_YEAST	SSE1	693	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Heat shock protein homolog SSE1	1.0	0.999	31	319	246	319	100	111	108	76	85	85	100	111	108	1.92888666E9	1.85594291E9	1.819504E9	1.92990656E8	1.83032096E8	1.8866624E8	
sp|P32590|HSP79_YEAST	P32590	HSP79_YEAST	SSE2	693	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Heat shock protein homolog SSE2	1.0	0.999	13	11	11	84	3	5	3	3	5	3	27	31	26	3.3387566E7	4.7945808E7	2.6811876E7	1.1371438E7	1.3417781E7	1.0948661E7	
sp|P32591|SWI3_YEAST	P32591	SWI3_YEAST	SWI3	825	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	SWI/SNF complex subunit SWI3	0.9665	0.999	1	1	1	1	0	0	1	0	0	1	0	0	1	2506900.8	3177442.0	3222380.0	2506900.8	3177442.0	3222380.0	
sp|P32597|STH1_YEAST	P32597	STH1_YEAST	STH1	1359	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Nuclear protein STH1/NPS1	0.9976	0.999	3	6	6	6	3	2	1	3	2	1	3	2	1	5913328.5	1869133.1	1871571.1	1580471.4	3215003.5	3219197.0	
sp|P32598|PP12_YEAST	P32598	PP12_YEAST	GLC7	312	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Serine/threonine-protein phosphatase PP1-2	1.0	0.999	7	37	28	37	12	13	12	9	10	9	12	13	12	8.044948E7	9.1705424E7	9.713288E7	1.6986272E7	2.1862856E7	2.2546846E7	
sp|P32599|FIMB_YEAST	P32599	FIMB_YEAST	SAC6	642	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Fimbrin	1.0	0.999	16	106	106	106	37	35	34	37	35	34	37	35	34	4.53558624E8	4.1155728E8	4.47756512E8	7.832088E7	7.4410088E7	7.9975584E7	
sp|P32602|SEC17_YEAST	P32602	SEC17_YEAST	SEC17	292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Alpha-soluble NSF attachment protein	1.0	0.999	7	22	22	22	6	8	8	6	8	8	6	8	8	7.3461872E7	7.5969624E7	8.7271288E7	2.4445748E7	2.3980956E7	2.585857E7	
sp|P32604|F26_YEAST	P32604	F26_YEAST	FBP26	452	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Fructose-2,6-bisphosphatase	0.9674	0.999	1	3	3	3	1	1	1	1	1	1	1	1	1	3812846.5	4006319.0	4821139.5	3812846.5	4006319.0	4821139.5	
sp|P32608|RTG2_YEAST	P32608	RTG2_YEAST	RTG2	588	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Retrograde regulation protein 2	0.9999	0.9972	3	5	5	5	1	3	1	1	3	1	1	3	1	1.0752874E7	1.0447598E7	9920697.0	5036177.0	4677020.5	4474525.5	
sp|P32610|VATD_YEAST	P32610	VATD_YEAST	VMA8	256	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	V-type proton ATPase subunit D	1.0	0.999	5	17	17	17	7	6	4	7	6	4	7	6	4	7.473536E7	4.5730088E7	7.5270432E7	2.1059492E7	2.134342E7	2.9120092E7	
sp|P32614|FRDS_YEAST	P32614	FRDS_YEAST	FRD1	470	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Fumarate reductase 1	1.0	0.999	17	98	98	98	32	35	31	32	35	31	32	35	31	3.06366848E8	3.21771328E8	3.17262752E8	3.832468E7	3.8228816E7	4.2105076E7	
sp|P32621|GDA1_YEAST	P32621	GDA1_YEAST	GDA1	518	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Guanosine-diphosphatase	0.999	0.999	2	5	5	5	2	1	2	2	1	2	2	1	2	6877793.0	4790940.0	4522921.5	3133547.8	5518406.0	5209690.5	
sp|P32623|CRH2_YEAST	P32623	CRH2_YEAST	UTR2	467	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Probable glycosidase CRH2	1.0	0.999	2	5	5	5	1	2	2	1	2	2	1	2	2	1.9599802E7	2.3190874E7	1.8344222E7	1.1151451E7	1.3902347E7	1.0840727E7	
sp|P32626|ENOPH_YEAST	P32626	ENOPH_YEAST	UTR4	227	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Enolase-phosphatase E1	1.0	0.999	4	10	10	10	4	3	3	4	3	3	4	3	3	2.426992E7	2.1308352E7	2.5898494E7	9290528.0	8140078.5	9516638.0	
sp|P32628|RAD23_YEAST	P32628	RAD23_YEAST	RAD23	398	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	UV excision repair protein RAD23	1.0	0.999	5	20	20	20	6	7	7	6	7	7	6	7	7	5.5407916E7	6.060606E7	6.5741516E7	1.8919046E7	1.9367278E7	1.939181E7	
sp|P32642|GLRX4_YEAST	P32642	GLRX4_YEAST	GRX4	244	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Monothiol glutaredoxin-4	0.9674	0.999	1	5	0	5	2	2	1	0	0	0	2	2	1	5374464.0	9010464.0	1.2979788E7	5374464.0	9010464.0	1.2979788E7	sp|Q03835|GLRX3_YEAST
sp|P32643|TMT1_YEAST	P32643	TMT1_YEAST	TMT1	299	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Trans-aconitate 3-methyltransferase	0.999	0.999	2	3	3	3	1	2	0	1	2	0	1	2	0	722671.75	5318875.0	3584111.5	722671.75	3427174.8	3584111.5	
sp|P32644|ECM32_YEAST	P32644	ECM32_YEAST	ECM32	1121	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Putative ATP-dependent RNA helicase ECM32	0.663	0.9851	1	2	2	2	1	1	0	1	1	0	1	1	0	856849.1	1177681.0	1296496.9	856849.1	1177681.0	1296496.9	
sp|P32767|KA122_YEAST	P32767	KA122_YEAST	KAP122	1081	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Importin beta-like protein KAP122	0.967	0.999	1	3	3	3	1	1	1	1	1	1	1	1	1	9660252.0	6110703.5	4566827.0	9660252.0	6110703.5	4566827.0	
sp|P32769|HBS1_YEAST	P32769	HBS1_YEAST	HBS1	611	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Elongation factor 1 alpha-like protein	0.9945	0.999	2	2	2	5	1	0	1	1	0	1	2	1	2	4753645.0	3175277.5	4282303.5	4753645.0	3175277.5	4282303.5	
sp|P32771|FADH_YEAST	P32771	FADH_YEAST	SFA1	386	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	S-(hydroxymethyl)glutathione dehydrogenase	1.0	0.999	9	31	31	31	9	11	11	9	11	11	9	11	11	7.2349792E7	9.064128E7	7.0577192E7	1.6000275E7	1.3783549E7	1.4761466E7	
sp|P32774|T2AG_YEAST	P32774	T2AG_YEAST	TOA2	122	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Transcription initiation factor IIA subunit 2	0.9991	0.999	3	5	5	5	2	1	2	2	1	2	2	1	2	7571808.5	5759594.5	3946484.5	3569156.0	6345524.5	4347965.0	
sp|P32775|GLGB_YEAST	P32775	GLGB_YEAST	GLC3	704	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	1,4-alpha-glucan-branching enzyme	1.0	0.999	12	38	38	38	14	13	11	14	13	11	14	13	11	7.2089888E7	7.015316E7	6.0525084E7	1.2072939E7	1.2819638E7	1.1620565E7	
